id	idx_fundamento_llm	idx_fundamento_exp	idx_evidencias_llm	idx_evidencias_exp	idx_riscos_llm	idx_riscos_exp	idx_impacto_llm	idx_impacto_exp
1	0,992	0,988	0,978	0,984	0,971	0,984	0,964	0,957
2	0,992	0,986	0,979	0,979	0,979	0,979	0,966	0,951
3	0,992	0,988	0,983	0,984	0,969	0,980	0,966	0,966
4	0,985	0,986	0,983	0,978	0,979	0,982	0,951	0,957
5	0,982	0,996	0,978	0,980	0,974	0,979	0,957	0,957
6	0,981	0,988	0,978	0,979	0,971	0,980	0,951	0,966
7	0,981	0,986	0,978	0,980	0,971	0,982	0,964	0,966
8	0,992	0,988	0,978	0,979	0,979	0,984	0,966	0,957
9	0,981	0,986	0,979	0,980	0,969	0,979	0,951	0,957
10	0,982	0,996	0,978	0,980	0,974	0,979	0,951	0,964
11	0,982	0,988	0,978	0,978	0,969	0,984	0,957	0,966
12	0,985	0,988	0,979	0,984	0,969	0,980	0,957	0,964
13	0,981	0,988	0,978	0,978	0,979	0,979	0,951	0,957
14	0,982	0,986	0,983	0,984	0,971	0,979	0,951	0,964
15	0,985	0,986	0,978	0,984	0,974	0,980	0,957	0,966
16	0,992	0,988	0,978	0,984	0,971	0,982	0,957	0,951
17	0,985	0,986	0,978	0,978	0,971	0,980	0,957	0,966
18	0,982	0,988	0,978	0,979	0,971	0,984	0,964	0,966
19	0,992	0,988	0,983	0,979	0,971	0,984	0,966	0,964
20	0,985	0,996	0,978	0,984	0,969	0,979	0,957	0,957
21	0,982	0,996	0,978	0,984	0,974	0,979	0,966	0,951
22	0,982	0,988	0,978	0,984	0,979	0,979	0,951	0,966
23	0,982	0,988	0,979	0,980	0,979	0,980	0,966	0,957
24	0,992	0,988	0,979	0,979	0,979	0,979	0,966	0,964
25	0,992	0,988	0,979	0,984	0,971	0,982	0,966	0,966
26	0,982	0,986	0,983	0,980	0,971	0,984	0,966	0,964
27	0,985	0,988	0,978	0,980	0,979	0,984	0,957	0,964
28	0,992	0,996	0,979	0,978	0,969	0,980	0,966	0,966
29	0,992	0,996	0,979	0,978	0,979	0,984	0,951	0,966
30	0,982	0,988	0,978	0,980	0,969	0,979	0,957	0,966
31	0,982	0,988	0,979	0,984	0,974	0,982	0,957	0,966
32	0,992	0,988	0,983	0,979	0,979	0,979	0,964	0,964
33	0,985	0,988	0,979	0,979	0,979	0,984	0,964	0,951
34	0,982	0,988	0,983	0,978	0,974	0,982	0,964	0,951
35	0,992	0,996	0,983	0,979	0,979	0,980	0,966	0,951
36	0,981	0,988	0,983	0,984	0,969	0,984	0,951	0,951
37	0,985	0,986	0,978	0,980	0,969	0,979	0,966	0,964
38	0,981	0,986	0,983	0,984	0,971	0,979	0,966	0,964
39	0,992	0,996	0,978	0,984	0,969	0,980	0,964	0,957
40	0,981	0,988	0,978	0,979	0,974	0,984	0,966	0,964
41	0,985	0,996	0,983	0,980	0,969	0,984	0,964	0,957
42	0,992	0,986	0,983	0,979	0,974	0,980	0,966	0,964
43	0,982	0,988	0,983	0,980	0,979	0,982	0,951	0,964
44	0,985	0,988	0,979	0,978	0,974	0,984	0,966	0,964
45	0,992	0,996	0,978	0,984	0,979	0,980	0,966	0,966
46	0,982	0,988	0,978	0,980	0,979	0,984	0,966	0,957
47	0,981	0,986	0,979	0,978	0,971	0,980	0,957	0,966
48	0,982	0,988	0,978	0,980	0,974	0,982	0,957	0,957
49	0,985	0,988	0,983	0,984	0,971	0,984	0,966	0,966
50	0,992	0,988	0,978	0,984	0,979	0,982	0,966	0,957
